;Estado;cases_7d
0;AC;55.98988086625345
1;AL;44.70601226968866
2;AM;7332.7161611975525
3;AP;236.91316372179563
4;BA;1148.059726743622
5;Brazil;26344.598304119238
6;CE;2254.881869906188
7;DF;695.4074516923478
8;ES;434.86445035891114
9;GO;187.58923447004508
10;MA;673.5613845387687
11;MG;1019.2306076163976
12;MS;96.46213204142522
13;MT;240.31571891608837
14;PA;592.2337740526964
15;PB;68.16234202020897
16;PE;651.0312402516059
17;PI;32.99791234170042
18;PR;1227.081207728484
19;RJ;3607.557363681941
20;RN;946.4808999434842
21;RO;21.096302157763287
22;RR;74.09813464906806
23;RS;876.424361752933
24;SC;549.2283094979703
25;SE;62.666686359778424
26;SP;12996.67064550656
27;TO;25.72433317444782
